Bet365HomeOdds,Bet365DrawOdds,Bet365AwayOdds,HomeScore,AwayScore,HomeXg,AwayXg,SimulatedHomeProbability,SimulatedDrawProbability,SimulatedAwayProbability,538HomeProbability,538DrawProbability,538AwayProbability,ProbabilityOfGame,DatabaseGameId,FinalResult,HomeTeamAveragePoints,HomeTeamAvgPointsLast5,AwayTeamAveragePoints,AwayTeamAveragePointsLast5,AwayTeamPointsAgainstOpponentLast2Seasons,HomeTeamAverageGoals,AwayTeamAverageGoals,HomeTeamAvgXgFor,AwayTeamAvgXgFor,HomeTeamAvgXgAgainst,AwayTeamAvgXgAgainst,HomeTeamFormXgFor,AwayTeamFormXgFor
2,3.6,4,0,1,1.13448,0.778883,0.439338056379398,0.309770922144262,0.250891018081012,0.4556,0.258,0.2864,1,3681,2,1.66666666666667,1.4,0.888888888888889,0.6,2.25,1.66666666666667,1.11111111111111,1.28552255555556,0.992067444444444,1.48395977777778,1.71838311111111,0.216196466408212,0.063560348910959
1.25,6.5,14,3,0,1.3631,0.0554802,0.724946953149329,0.260695579944046,0.014357442356972,0.8162,0.1399,0.0439,1,3682,0,1.44444444444444,1.2,1.33333333333333,1,1.25,1.55555555555556,0.777777777777778,1.90945522222222,0.770227777777778,1.34740633333333,1.06449744444444,0.637801704979597,-0.476303886450414
6.5,4.33333333333333,1.57,0,1,0.455055,1.78362,0.08769008748727,0.212335587205917,0.699973904320864,0.1876,0.2217,0.5907,1,3683,2,0.777777777777778,1.4,1.77777777777778,1.4,2.25,0.666666666666667,1.88888888888889,0.649920666666667,1.123017,1.650306,0.974712444444444,-0.697920779538291,-0.23437814546923
3.39,3.25,2.35,1,1,1.50533,0.54364,0.609485391811005,0.25795604206894,0.132558495205963,0.3287,0.3074,0.364,1,3684,1,1.22222222222222,1.4,1.33333333333333,1.4,1.25,1,0.888888888888889,0.644180666666667,1.14278033333333,1.26731133333333,1.16812122222222,-0.424967151678358,0.096260366449411
2.04,3.5,3.89,2,0,1.36768,0.575236,0.56345149592875,0.280206535973141,0.156341942645527,0.4678,0.2615,0.2707,1,3685,0,1,1.2,0.888888888888889,0.8,1.5,1.33333333333333,0.777777777777778,1.17570333333333,0.945671222222222,1.15834733333333,1.44197166666667,-0.018794910808236,-0.20173083624115
3.2,3.1,2.54,1,0,1.0271,0.516369,0.47461723871225,0.342857234340145,0.182525525827853,0.4666,0.2947,0.2387,1,3686,0,1.44444444444444,1.2,1.55555555555556,1.6,1.25,0.888888888888889,1.11111111111111,0.552838,1.21470577777778,1.47944011111111,1.00037877777778,-0.590113847539956,-0.604269853490884
2.62,3.29,2.89,2,2,1.22988,1.39563,0.330710745641833,0.261336849652748,0.407952365007387,0.4056,0.2713,0.3231,1,3687,1,1.1,1.2,1.2,1.6,2,1.1,1.4,0.970749,1.194901,1.6599928,1.1000362,-0.128598932761226,-0.032669099772844
2.89,3,2.87,1,0,0.260436,0.382005,0.164096747356439,0.579573809462788,0.256329443180759,0.3537,0.3241,0.3222,1,3688,0,1.2,0.8,1,0.4,1.25,0.7,0.9,0.69875302,0.8844264,1.0943577,1.2409716,-0.680209448171143,-0.265760318403147
1.85,3.6,4.75,0,1,0.676091,1.28703,0.195789378764217,0.291883060220415,0.512327547790503,0.4507,0.2915,0.2578,1,3689,2,1.4,1,0.7,0.8,1.5,1,0.6,1.1448721,0.6304341,1.0030509,1.6636374,-0.693970167895941,-0.653354945764829
1.66,3.7,6.5,0,1,0.789259,0.137743,0.498463642859727,0.43989526886383,0.061641088217393,0.4567,0.2961,0.2472,1,3690,2,1.3,1,1.6,1.6,1.5,0.9,0.9,1.0828663,0.6002642,1.2018421,1.383133,-0.108722558496275,-0.435905080099412
2.6,3,3.25,0,1,1.24557,0.874927,0.448651696958254,0.290939907147834,0.260408386439417,0.459,0.3049,0.2361,1,3691,2,0.8,0.6,1.2,1.6,1.25,0.7,1,0.8053213,0.7302956,1.5389702,1.1949442,-0.313304952115195,-0.234423169314324
6.5,4.5,1.53,1,4,1.13045,2.8773,0.120670378184303,0.146764410599818,0.732516861181636,0.1897,0.217,0.5933,1,3692,2,0.9,1,1.6,1.6,1,1,1.7,0.8449751,1.8548197,1.285275,1.21821372,-0.60809263355266,0.553001917623586
